id,name,lat,lng,type,desc
JIEFANGBEI,解放碑,29.56301,106.57577,地标,重庆地标性商圈与城市中心
HONGYADONG,洪崖洞,29.56470,106.58169,景区,临江吊脚楼夜景与美食聚集地
CHAO_TIAN_MEN,朝天门,29.56336,106.58713,景区,两江交汇口与滨江步道
CIFENGLOU,磁器口古镇,29.58562,106.45359,古城,山城老街与传统小吃
ELINGPARK,鹅岭公园,29.55244,106.50863,公园,俯瞰两江的城市观景点
NANSHAN,南山一棵树,29.54179,106.60227,景区,城市夜景观景台
THREE_GORGES_MUSEUM,三峡博物馆,29.56369,106.55112,博物馆,了解重庆与三峡历史文化
PEOPLE_GREAT_HALL,人民大礼堂,29.56546,106.55174,建筑,独特圆顶建筑与城市名片
LIZIBA,李子坝轻轨站,29.58077,106.52866,轻轨,轻轨穿楼网红打卡点
CIQIKOU_BACKHILL,磁器口后街,29.58680,106.45090,古城,相对清净的老街与生活气息
CHONGQING_ZOO,重庆动物园,29.52733,106.51661,公园,国宝大熊猫与亲子游玩
JINYUN_MOUNTAIN,缙云山,29.86577,106.39436,自然景观,森林步道与登高远眺

